p,d,q,seasonal_order,aic,bic,converged,fit_seconds,error
0,0,0,"(1, 1, 1, 24)",7494.130956454572,7512.166033002459,True,4.6,
0,0,1,"(1, 1, 1, 24)",7390.459725759177,7412.996114321102,True,5.2,
0,0,2,"(1, 1, 1, 24)",7311.777373773697,7338.812078134466,False,6.3,
0,0,3,"(1, 1, 1, 24)",7288.410250846777,7319.940268061533,False,7.4,
0,0,4,"(1, 1, 1, 24)",7271.0267437475395,7307.049064114864,False,9.3,
0,0,5,"(1, 1, 1, 24)",7259.059344946825,7299.570951981688,False,9.4,
0,0,6,"(1, 1, 1, 24)",7245.8647866369965,7290.862657043555,False,11.4,
0,1,0,"(1, 1, 1, 24)",7536.983621866274,7555.012732715814,True,4.7,
0,1,1,"(1, 1, 1, 24)",7310.949535525865,7333.478455826506,True,5.6,
0,1,2,"(1, 1, 1, 24)",7301.197232384191,7328.222961425411,True,5.5,
0,1,3,"(1, 1, 1, 24)",7273.206369716102,7304.725900037512,False,7.6,
0,1,4,"(1, 1, 1, 24)",7261.655317566763,7297.665634931086,True,6.8,
0,1,5,"(1, 1, 1, 24)",7250.790545821428,7291.288629187331,True,7.9,
0,1,6,"(1, 1, 1, 24)",7241.507163736844,7286.489985231608,False,10.8,
0,2,0,"(1, 1, 1, 24)",8239.83469421876,8257.857830459272,True,3.4,
0,2,1,"(1, 1, 1, 24)",7545.285778320978,7567.807219188661,False,6.4,
0,2,2,"(1, 1, 1, 24)",7562.0886032489925,7589.105343524487,False,9.4,
0,2,3,"(1, 1, 1, 24)",7464.508279321934,7496.017307015717,False,10.2,
0,2,4,"(1, 1, 1, 24)",7432.4637446939105,7468.462041019157,False,12.3,
0,2,5,"(1, 1, 1, 24)",7428.529273848538,7469.013813193826,False,15.6,
0,2,6,"(1, 1, 1, 24)",7392.925524676646,7437.893274578505,False,17.8,
1,0,0,"(1, 1, 1, 24)",7341.034699373558,7363.578545058417,False,4.3,
1,0,1,"(1, 1, 1, 24)",7284.42579294729,7311.4694592216,True,4.8,
1,0,2,"(1, 1, 1, 24)",7273.66387929813,7305.204367719028,False,6.8,
1,0,3,"(1, 1, 1, 24)",7264.167180618337,7300.20148600663,False,7.7,
1,0,4,"(1, 1, 1, 24)",7254.5779336450005,7295.103044058241,False,9.2,
1,0,5,"(1, 1, 1, 24)",7290.335586409414,7335.348483114818,False,9.4,
1,0,6,"(1, 1, 1, 24)",7280.767518128414,7330.265175575629,False,14.6,
1,1,0,"(1, 1, 1, 24)",7374.783847035727,7397.320235597653,True,4.1,
1,1,1,"(1, 1, 1, 24)",7314.258896539788,7341.293600900557,False,6.4,
1,1,2,"(1, 1, 1, 24)",7312.697392328595,7344.227409543351,False,7.4,
1,1,3,"(1, 1, 1, 24)",7346.776482595375,7382.7988029626995,False,10.2,
1,1,4,"(1, 1, 1, 24)",7266.26379455648,7306.775401591343,False,9.2,
1,1,5,"(1, 1, 1, 24)",7268.766717179664,7313.764587586223,False,16.7,
1,1,6,"(1, 1, 1, 24)",7245.753652277024,7295.234755921265,False,15.2,
1,2,0,"(1, 1, 1, 24)",7817.6020906412805,7840.131010941922,True,5.1,
1,2,1,"(1, 1, 1, 24)",7367.276818332721,7394.302547373941,False,8.5,
1,2,2,"(1, 1, 1, 24)",7491.244116435424,7522.763646756834,False,10.0,
1,2,3,"(1, 1, 1, 24)",7448.256950358149,7484.267267722472,False,11.0,
1,2,4,"(1, 1, 1, 24)",7443.652519432721,7484.150602798624,False,14.2,
1,2,5,"(1, 1, 1, 24)",7417.678499929265,7462.66132142403,False,16.9,
1,2,6,"(1, 1, 1, 24)",7382.7898095451255,7432.25433443717,False,20.9,
2,0,0,"(1, 1, 1, 24)",7282.9227433315355,7309.966409605846,True,5.0,
2,0,1,"(1, 1, 1, 24)",7283.384963894365,7314.93590788106,False,6.2,
2,0,2,"(1, 1, 1, 24)",7313.398478898911,7349.444751379937,False,9.3,
2,0,3,"(1, 1, 1, 24)",7322.623787583698,7363.162381145527,False,10.3,
2,0,4,"(1, 1, 1, 24)",7265.3504730583245,7310.378373517481,False,10.3,
2,0,5,"(1, 1, 1, 24)",7266.489596913732,7316.003783289677,False,11.8,
2,0,6,"(1, 1, 1, 24)",7280.4391914518355,7334.436635939705,False,12.2,
